variable,edu_a,edu_b,n_a,n_b,u_stat,p_value,p_bonf,significant_bonf,rank_biserial_r
who5_4,5.0,8.0,39,48,818.0,0.30056886503973057,1.0,False,0.12606837606837606
who5_4,5.0,13.0,39,58,935.0,0.13859023080584287,1.0,False,0.1732979664014147
who5_4,5.0,18.0,39,38,578.5,0.09051196903190996,1.0,False,0.2192982456140351
who5_4,5.0,22.0,39,29,153.0,1.3687342715971706e-07,2.053101407395756e-06,True,0.7294429708222812
who5_4,5.0,25.0,39,9,24.5,4.354141531993735e-05,0.0006531212297990603,True,0.8603988603988604
who5_4,8.0,13.0,48,58,1333.0,0.7033562883382698,1.0,False,0.04238505747126442
who5_4,8.0,18.0,48,38,817.0,0.401424739304185,1.0,False,0.10416666666666663
who5_4,8.0,22.0,48,29,254.0,1.7925460584474204e-06,2.6888190876711305e-05,True,0.6350574712643677
who5_4,8.0,25.0,48,9,47.5,0.0001716059499637821,0.0025740892494567316,True,0.7800925925925926
who5_4,13.0,18.0,58,38,1021.5,0.5408604909481839,1.0,False,0.07304900181488205
who5_4,13.0,22.0,58,29,314.5,1.1632928600055592e-06,1.7449392900083387e-05,True,0.6260404280618311
who5_4,13.0,25.0,58,9,55.5,0.00011835492179589614,0.001775323826938442,True,0.7873563218390804
who5_4,18.0,22.0,38,29,281.5,0.0004181289394681854,0.006271934092022781,True,0.4891107078039928
who5_4,18.0,25.0,38,9,64.0,0.003171860111778038,0.04757790167667057,True,0.6257309941520468
who5_4,22.0,25.0,29,9,106.0,0.3541372709182352,1.0,False,0.1877394636015326
dast_9,5.0,8.0,39,48,760.5,0.004634985887089435,0.06952478830634153,False,0.1875
dast_9,5.0,13.0,39,58,468.0,3.682158483461339e-09,5.5232377251920085e-08,True,0.5862068965517242
dast_9,5.0,18.0,39,38,429.0,6.3043723761120225e-06,9.456558564168033e-05,True,0.42105263157894735
dast_9,5.0,22.0,39,29,273.0,4.62580848806987e-07,6.938712732104804e-06,True,0.5172413793103448
dast_9,5.0,25.0,39,9,78.0,1.2887761145209697e-06,1.9331641717814546e-05,True,0.5555555555555556
dast_9,8.0,13.0,48,58,837.0,3.503959542843151e-05,0.0005255939314264726,True,0.3987068965517241
dast_9,8.0,18.0,48,38,699.0,0.018805309213680406,0.2820796382052061,False,0.23355263157894735
dast_9,8.0,22.0,48,29,466.5,0.002694421748662883,0.04041632622994324,True,0.32974137931034486
dast_9,8.0,25.0,48,9,136.5,0.02042103820867684,0.30631557313015256,False,0.3680555555555556
dast_9,13.0,18.0,58,38,1284.0,0.11607971582495462,1.0,False,-0.16515426497277685
dast_9,13.0,22.0,58,29,899.0,0.5467608744731942,1.0,False,-0.06896551724137923
dast_9,13.0,25.0,58,9,269.0,0.8717745248857565,1.0,False,-0.03065134099616862
dast_9,18.0,22.0,38,29,498.0,0.44177554003314246,1.0,False,0.0961887477313974
dast_9,18.0,25.0,38,9,148.0,0.48000882421349256,1.0,False,0.13450292397660824
dast_9,22.0,25.0,29,9,125.5,0.8582548904442838,1.0,False,0.03831417624521072
swls_4,5.0,8.0,39,48,557.0,0.0010086394845147035,0.015129592267720553,True,0.4049145299145299
swls_4,5.0,13.0,39,58,642.0,0.0002625964838345321,0.003938947257517982,True,0.43236074270557034
swls_4,5.0,18.0,39,38,390.0,0.0002570506199379868,0.0038557592990698017,True,0.4736842105263158
swls_4,5.0,22.0,39,29,148.0,1.5230461746575414e-07,2.284569261986312e-06,True,0.7382847038019451
swls_4,5.0,25.0,39,9,32.0,0.00012197300331270293,0.0018295950496905438,True,0.8176638176638177
swls_4,8.0,13.0,48,58,1284.0,0.48815737750481436,1.0,False,0.07758620689655171
swls_4,8.0,18.0,48,38,798.0,0.3142002634567733,1.0,False,0.125
swls_4,8.0,22.0,48,29,328.5,9.290930761133219e-05,0.0013936396141699828,True,0.5280172413793103
swls_4,8.0,25.0,48,9,67.0,0.000981741249123835,0.014726118736857524,True,0.6898148148148149
swls_4,13.0,18.0,58,38,1056.0,0.7286591837677765,1.0,False,0.04174228675136116
swls_4,13.0,22.0,58,29,466.5,0.0006335699501320094,0.00950354925198014,True,0.44530321046373367
swls_4,13.0,25.0,58,9,106.0,0.004021416708485783,0.06032125062728674,False,0.5938697318007663
swls_4,18.0,22.0,38,29,346.0,0.007557967306738154,0.11336950960107231,False,0.37205081669691475
swls_4,18.0,25.0,38,9,87.0,0.01983438330659246,0.2975157495988869,False,0.49122807017543857
swls_4,22.0,25.0,29,9,104.5,0.3205437484951297,1.0,False,0.1992337164750958
pcl5_13,5.0,8.0,39,48,780.5,0.0939934216255686,1.0,False,0.1661324786324786
pcl5_13,5.0,13.0,39,58,451.5,7.092874118650613e-08,1.063931117797592e-06,True,0.6007957559681698
pcl5_13,5.0,18.0,39,38,478.5,0.0015961459390456195,0.023942189085684292,True,0.35425101214574894
pcl5_13,5.0,22.0,39,29,556.5,0.8807678256500021,1.0,False,0.01591511936339518
pcl5_13,5.0,25.0,39,9,172.5,0.9252215660328883,1.0,False,0.017094017094017144
pcl5_13,8.0,13.0,48,58,761.0,2.000522322536549e-05,0.00030007834838048235,True,0.4533045977011494
pcl5_13,8.0,18.0,48,38,725.5,0.06786480672661832,1.0,False,0.20449561403508776
pcl5_13,8.0,22.0,48,29,793.5,0.20381194221445487,1.0,False,-0.14008620689655182
pcl5_13,8.0,25.0,48,9,248.5,0.3975964308440164,1.0,False,-0.15046296296296302
pcl5_13,13.0,18.0,58,38,1340.5,0.06096078399718566,0.9144117599577849,False,-0.21642468239564439
pcl5_13,13.0,22.0,58,29,1296.5,1.2372632591985067e-05,0.00018558948887977602,True,-0.5416171224732462
pcl5_13,13.0,25.0,58,9,415.5,0.003070518215411426,0.04605777323117139,True,-0.5919540229885059
pcl5_13,18.0,22.0,38,29,725.5,0.010600318101570036,0.15900477152355055,False,-0.3166969147005445
pcl5_13,18.0,25.0,38,9,229.5,0.08178199265054178,1.0,False,-0.3421052631578947
pcl5_13,22.0,25.0,29,9,130.5,1.0,1.0,False,0.0
iat_3,5.0,8.0,39,48,654.0,0.011869141676671554,0.1780371251500733,False,0.3012820512820513
iat_3,5.0,13.0,39,58,1066.0,0.6269198924572821,1.0,False,0.05747126436781613
iat_3,5.0,18.0,39,38,921.5,0.06066024675711956,0.9099037013567934,False,-0.2435897435897436
iat_3,5.0,22.0,39,29,948.5,1.081312325665791e-06,1.6219684884986867e-05,True,-0.6772767462422635
iat_3,5.0,25.0,39,9,309.0,0.0002188629693458471,0.0032829445401877065,True,-0.7606837606837606
iat_3,8.0,13.0,48,58,1734.0,0.026490295398955328,0.39735443098432993,False,-0.2456896551724137
iat_3,8.0,18.0,48,38,1274.0,0.0013068878939061068,0.0196033184085916,True,-0.39692982456140347
iat_3,8.0,22.0,48,29,1194.0,8.949327426918295e-08,1.3423991140377442e-06,True,-0.7155172413793103
iat_3,8.0,25.0,48,9,377.5,0.00027884308569351595,0.00418264628540274,True,-0.7476851851851851
iat_3,13.0,18.0,58,38,1298.0,0.13539235618950385,1.0,False,-0.17785843920145195
iat_3,13.0,22.0,58,29,1304.0,2.0101484257258628e-05,0.00030152226385887944,True,-0.5505350772889417
iat_3,13.0,25.0,58,9,403.5,0.007647104652537944,0.11470656978806916,False,-0.5459770114942528
iat_3,18.0,22.0,38,29,755.5,0.007686862396666095,0.11530293594999143,False,-0.37114337568058087
iat_3,18.0,25.0,38,9,222.5,0.15935692798890588,1.0,False,-0.30116959064327475
iat_3,22.0,25.0,29,9,114.5,0.5673153880853072,1.0,False,0.12260536398467436
iat_6,5.0,8.0,39,48,498.0,0.00014157754457024636,0.0021236631685536953,True,0.46794871794871795
iat_6,5.0,13.0,39,58,815.0,0.01770255705484093,0.265538355822614,False,0.2793987621573828
iat_6,5.0,18.0,39,38,677.0,0.5093732340896259,1.0,False,0.08636977058029693
iat_6,5.0,22.0,39,29,770.5,0.008603765942847003,0.12905648914270504,False,-0.3625110521662245
iat_6,5.0,25.0,39,9,208.5,0.3812886037369998,1.0,False,-0.18803418803418803
iat_6,8.0,13.0,48,58,1665.0,0.07595753027229361,1.0,False,-0.19612068965517238
iat_6,8.0,18.0,48,38,1304.5,0.0005068918009899167,0.007603377014848751,True,-0.4303728070175439
iat_6,8.0,22.0,48,29,1209.0,4.09149656765799e-08,6.137244851486985e-07,True,-0.7370689655172413
iat_6,8.0,25.0,48,9,373.5,0.00042521343591387257,0.0063782015387080886,True,-0.7291666666666667
iat_6,13.0,18.0,58,38,1373.5,0.03741798434302014,0.5612697651453021,False,-0.24637023593466423
iat_6,13.0,22.0,58,29,1299.0,1.992617773318668e-05,0.0002988926659978002,True,-0.544589774078478
iat_6,13.0,25.0,58,9,380.0,0.02470347561668537,0.37055213425028055,False,-0.45593869731800774
iat_6,18.0,22.0,38,29,797.5,0.001350717744069984,0.02026076616104976,True,-0.44736842105263164
iat_6,18.0,25.0,38,9,229.0,0.11278922769900929,1.0,False,-0.3391812865497077
iat_6,22.0,25.0,29,9,81.0,0.07522848869271091,1.0,False,0.3793103448275862
iat_14,5.0,8.0,39,48,531.5,0.0003906363916897237,0.0058595458753458556,True,0.4321581196581197
iat_14,5.0,13.0,39,58,837.5,0.02832121371341499,0.42481820570122486,False,0.2595048629531388
iat_14,5.0,18.0,39,38,545.5,0.04306801590138743,0.6460202385208115,False,0.26383265856950067
iat_14,5.0,22.0,39,29,733.0,0.03088401510939277,0.46326022664089156,False,-0.2961980548187444
iat_14,5.0,25.0,39,9,236.0,0.10150174554319934,1.0,False,-0.3447293447293447
iat_14,8.0,13.0,48,58,1728.5,0.028865163491064685,0.4329774523659703,False,-0.2417385057471264
iat_14,8.0,18.0,48,38,1129.5,0.05262241374197467,0.7893362061296201,False,-0.23848684210526305
iat_14,8.0,22.0,48,29,1188.5,1.2405226647033896e-07,1.8607839970550844e-06,True,-0.7076149425287357
iat_14,8.0,25.0,48,9,382.5,0.0001770349313815331,0.0026555239707229967,True,-0.7708333333333333
iat_14,13.0,18.0,58,38,1099.5,0.9877525790377446,1.0,False,0.00226860254083483
iat_14,13.0,22.0,58,29,1306.0,1.8358020463956026e-05,0.00027537030695934037,True,-0.5529131985731273
iat_14,13.0,25.0,58,9,420.5,0.0028142248793197183,0.042213373189795775,True,-0.6111111111111112
iat_14,18.0,22.0,38,29,866.0,4.545414723766653e-05,0.000681812208564998,True,-0.5716878402903811
iat_14,18.0,25.0,38,9,281.5,0.0024652796525569207,0.03697919478835381,True,-0.6461988304093567
iat_14,22.0,25.0,29,9,128.5,0.9554251641597598,1.0,False,0.01532567049808431
dast_3,5.0,8.0,39,48,819.0,0.02349160050962208,0.3523740076443312,False,0.125
dast_3,5.0,13.0,39,58,526.5,3.7597009809161054e-08,5.639551471374158e-07,True,0.5344827586206897
dast_3,5.0,18.0,39,38,468.0,3.2428340399497105e-05,0.0004864251059924566,True,0.368421052631579
dast_3,5.0,22.0,39,29,292.5,1.4043791328898538e-06,2.1065686993347808e-05,True,0.48275862068965514
dast_3,5.0,25.0,39,9,117.0,0.0002588817918664167,0.0038832268779962504,True,0.33333333333333337
dast_3,8.0,13.0,48,58,822.0,1.1986979220697323e-05,0.00017980468831045983,True,0.4094827586206896
dast_3,8.0,18.0,48,38,690.0,0.008484159336675779,0.12726239005013668,False,0.24342105263157898
dast_3,8.0,22.0,48,29,447.0,0.000582860931189621,0.008742913967844315,True,0.35775862068965514
dast_3,8.0,25.0,48,9,171.0,0.12314616593457316,1.0,False,0.20833333333333337
dast_3,13.0,18.0,58,38,1285.0,0.11369028137891111,1.0,False,-0.16606170598911074
dast_3,13.0,22.0,58,29,884.5,0.6546548378171081,1.0,False,-0.051724137931034475
dast_3,13.0,25.0,58,9,313.5,0.26958811625671053,1.0,False,-0.20114942528735624
dast_3,18.0,22.0,38,29,488.0,0.35459127018904457,1.0,False,0.11433756805807627
dast_3,18.0,25.0,38,9,177.0,0.8582220799931374,1.0,False,-0.03508771929824572
dast_3,22.0,25.0,29,9,150.0,0.4489096930723452,1.0,False,-0.14942528735632177
who5_1,5.0,8.0,39,48,695.0,0.03584205582728799,0.5376308374093199,False,0.25747863247863245
who5_1,5.0,13.0,39,58,748.5,0.004115149439689992,0.06172724159534988,False,0.3381962864721485
who5_1,5.0,18.0,39,38,440.0,0.001756204450148825,0.026343066752232375,True,0.4062078272604588
who5_1,5.0,22.0,39,29,166.0,4.4955827033099293e-07,6.743374054964894e-06,True,0.7064544650751547
who5_1,5.0,25.0,39,9,16.5,1.8192987722775163e-05,0.00027289481584162747,True,0.905982905982906
who5_1,8.0,13.0,48,58,1254.0,0.37496284506479505,1.0,False,0.09913793103448276
who5_1,8.0,18.0,48,38,748.0,0.14832789757413103,1.0,False,0.17982456140350878
who5_1,8.0,22.0,48,29,335.5,0.00011793545847156204,0.0017690318770734307,True,0.5179597701149425
who5_1,8.0,25.0,48,9,48.5,0.0001995599455957613,0.00299339918393642,True,0.775462962962963
who5_1,13.0,18.0,58,38,1019.0,0.5282483699886071,1.0,False,0.07531760435571688
who5_1,13.0,22.0,58,29,478.0,0.0008578458536331934,0.012867687804497902,True,0.43162901307966706
who5_1,13.0,25.0,58,9,78.0,0.0006182556620994708,0.009273834931492062,True,0.7011494252873562
who5_1,18.0,22.0,38,29,351.5,0.009629872566994093,0.1444480885049114,False,0.3620689655172413
who5_1,18.0,25.0,38,9,61.5,0.0024375543484791247,0.03656331522718687,True,0.6403508771929824
who5_1,22.0,25.0,29,9,88.5,0.11980620924367627,1.0,False,0.32183908045977017
pgsi_8,5.0,8.0,39,48,1207.5,0.01326812861914996,0.19902192928724938,False,-0.29006410256410264
pgsi_8,5.0,13.0,39,58,1742.0,8.976260323859695e-08,1.3464390485789543e-06,True,-0.5402298850574712
pgsi_8,5.0,18.0,39,38,1048.0,0.0006053552495809044,0.009080328743713565,True,-0.4143049932523617
pgsi_8,5.0,22.0,39,29,874.0,2.5383199581269264e-05,0.00038074799371903893,True,-0.5455349248452697
pgsi_8,5.0,25.0,39,9,288.0,0.0013468371953158302,0.020202557929737453,True,-0.641025641025641
pgsi_8,8.0,13.0,48,58,1816.0,0.00059192945496233,0.00887894182443495,True,-0.3045977011494252
pgsi_8,8.0,18.0,48,38,1061.5,0.1336700191718763,1.0,False,-0.16392543859649122
pgsi_8,8.0,22.0,48,29,907.5,0.008978685624388038,0.13468028436582058,False,-0.3038793103448276
pgsi_8,8.0,25.0,48,9,310.5,0.016755859541454178,0.25133789312181265,False,-0.4375
pgsi_8,13.0,18.0,58,38,938.5,0.0789135091545922,1.0,False,0.14836660617059894
pgsi_8,13.0,22.0,58,29,804.0,0.607086611599791,1.0,False,0.04399524375743158
pgsi_8,13.0,25.0,58,9,297.0,0.24594637310155143,1.0,False,-0.13793103448275867
pgsi_8,18.0,22.0,38,29,614.5,0.2951222247701104,1.0,False,-0.11524500907441015
pgsi_8,18.0,25.0,38,9,220.5,0.07376878746437089,1.0,False,-0.2894736842105263
pgsi_8,22.0,25.0,29,9,157.5,0.14982671512325996,1.0,False,-0.2068965517241379
dast_2,5.0,8.0,39,48,780.0,0.008012566467180016,0.12018849700770023,False,0.16666666666666663
dast_2,5.0,13.0,39,58,487.5,8.176063195260204e-09,1.2264094792890306e-07,True,0.5689655172413793
dast_2,5.0,18.0,39,38,409.5,2.6794926287009438e-06,4.019238943051416e-05,True,0.4473684210526315
dast_2,5.0,22.0,39,29,331.5,1.1615403446705551e-05,0.00017423105170058327,True,0.4137931034482759
dast_2,5.0,25.0,39,9,117.0,0.0002588817918664167,0.0038832268779962504,True,0.33333333333333337
dast_2,8.0,13.0,48,58,832.0,2.558156989445581e-05,0.00038372354841683716,True,0.4022988505747126
dast_2,8.0,18.0,48,38,656.0,0.004731463129494564,0.07097194694241847,False,0.2807017543859649
dast_2,8.0,22.0,48,29,524.0,0.017610059428354728,0.2641508914253209,False,0.24712643678160917
dast_2,8.0,25.0,48,9,180.0,0.255784811492217,1.0,False,0.16666666666666663
dast_2,13.0,18.0,58,38,1236.0,0.24774047730442583,1.0,False,-0.12159709618874781
dast_2,13.0,22.0,58,29,971.5,0.17627376090208458,1.0,False,-0.15517241379310343
dast_2,13.0,25.0,58,9,322.5,0.1940924792772314,1.0,False,-0.23563218390804597
dast_2,18.0,22.0,38,29,569.5,0.7907051228272295,1.0,False,-0.033575317604355615
dast_2,18.0,25.0,38,9,190.5,0.5486891316628613,1.0,False,-0.11403508771929816
dast_2,22.0,25.0,29,9,141.0,0.6851716339024296,1.0,False,-0.08045977011494254
iat_12,5.0,8.0,39,48,703.0,0.039807396392006186,0.5971109458800928,False,0.24893162393162394
iat_12,5.0,13.0,39,58,1055.0,0.571221291177933,1.0,False,0.0671971706454465
iat_12,5.0,18.0,39,38,699.0,0.6652317219927533,1.0,False,0.05668016194331982
iat_12,5.0,22.0,39,29,931.5,3.1157268627635955e-06,4.673590294145393e-05,True,-0.6472148541114058
iat_12,5.0,25.0,39,9,316.5,0.00011625371222017242,0.0017438056833025864,True,-0.8034188034188035
iat_12,8.0,13.0,48,58,1688.5,0.054235394459229036,0.8135309168884355,False,-0.21300287356321834
iat_12,8.0,18.0,48,38,1101.5,0.09151924282706449,1.0,False,-0.20778508771929816
iat_12,8.0,22.0,48,29,1166.0,3.626567265346216e-07,5.439850898019324e-06,True,-0.6752873563218391
iat_12,8.0,25.0,48,9,376.5,0.00029289237186606783,0.0043933855779910175,True,-0.7430555555555556
iat_12,13.0,18.0,58,38,1091.0,0.9357017953216082,1.0,False,0.009981851179673318
iat_12,13.0,22.0,58,29,1292.5,2.616427334055247e-05,0.00039246410010828703,True,-0.5368608799048751
iat_12,13.0,25.0,58,9,420.5,0.0027287872001920516,0.04093180800288077,True,-0.6111111111111112
iat_12,18.0,22.0,38,29,871.0,2.7818937004338025e-05,0.00041728405506507037,True,-0.5807622504537204
iat_12,18.0,25.0,38,9,285.5,0.001630294525745807,0.024454417886187105,True,-0.6695906432748537
iat_12,22.0,25.0,29,9,129.0,0.9688166835084442,1.0,False,0.011494252873563204
dast_4,5.0,8.0,39,48,780.0,0.008012566467180016,0.12018849700770023,False,0.16666666666666663
dast_4,5.0,13.0,39,58,507.0,1.7731009530557845e-08,2.659651429583677e-07,True,0.5517241379310345
dast_4,5.0,18.0,39,38,409.5,2.6794926287009438e-06,4.019238943051416e-05,True,0.4473684210526315
dast_4,5.0,22.0,39,29,292.5,1.4043791328898538e-06,2.1065686993347808e-05,True,0.48275862068965514
dast_4,5.0,25.0,39,9,117.0,0.0002588817918664167,0.0038832268779962504,True,0.33333333333333337
dast_4,8.0,13.0,48,58,856.0,5.164267447801752e-05,0.0007746401171702628,True,0.38505747126436785
dast_4,8.0,18.0,48,38,656.0,0.004731463129494564,0.07097194694241847,False,0.2807017543859649
dast_4,8.0,22.0,48,29,476.0,0.003189143778032329,0.04783715667048493,True,0.3160919540229885
dast_4,8.0,25.0,48,9,180.0,0.255784811492217,1.0,False,0.16666666666666663
dast_4,13.0,18.0,58,38,1217.0,0.3218294638439221,1.0,False,-0.10435571687840284
dast_4,13.0,22.0,58,29,899.0,0.5493233341802054,1.0,False,-0.06896551724137923
dast_4,13.0,25.0,58,9,318.0,0.22989802258152303,1.0,False,-0.21839080459770122
dast_4,18.0,22.0,38,29,531.5,0.7807233081004346,1.0,False,0.03539019963702361
dast_4,18.0,25.0,38,9,190.5,0.5486891316628613,1.0,False,-0.11403508771929816
dast_4,22.0,25.0,29,9,150.0,0.4489096930723452,1.0,False,-0.14942528735632177
pcl5_4,5.0,8.0,39,48,899.5,0.6977443578938312,1.0,False,0.03899572649572647
pcl5_4,5.0,13.0,39,58,491.0,4.79615011012593e-07,7.194225165188895e-06,True,0.5658709106984969
pcl5_4,5.0,18.0,39,38,455.0,0.0010733204151669197,0.016099806227503795,True,0.38596491228070173
pcl5_4,5.0,22.0,39,29,552.5,0.8430449841726108,1.0,False,0.02298850574712641
pcl5_4,5.0,25.0,39,9,166.5,0.7755456023136005,1.0,False,0.05128205128205132
pcl5_4,8.0,13.0,48,58,715.0,3.8648461021079725e-06,5.7972691531619586e-05,True,0.48635057471264365
pcl5_4,8.0,18.0,48,38,620.0,0.00430671997814953,0.06460079967224294,False,0.3201754385964912
pcl5_4,8.0,22.0,48,29,704.5,0.915541020476916,1.0,False,-0.012212643678160884
pcl5_4,8.0,25.0,48,9,214.5,0.9782597596874311,1.0,False,0.00694444444444442
pcl5_4,13.0,18.0,58,38,1307.0,0.1075879582082655,1.0,False,-0.18602540834845738
pcl5_4,13.0,22.0,58,29,1249.0,9.394957679092324e-05,0.0014092436518638486,True,-0.4851367419738406
pcl5_4,13.0,25.0,58,9,402.0,0.00670243944479219,0.10053659167188285,False,-0.5402298850574712
pcl5_4,18.0,22.0,38,29,730.0,0.012250409795758716,0.18375614693638073,False,-0.32486388384754994
pcl5_4,18.0,25.0,38,9,231.0,0.08403832216468331,1.0,False,-0.3508771929824561
pcl5_4,22.0,25.0,29,9,127.5,0.9140099604043715,1.0,False,0.02298850574712641
AUDIT_total,5.0,8.0,39,48,1371.5,0.0001991072866204082,0.0029866092993061227,True,-0.4652777777777777
AUDIT_total,5.0,13.0,39,58,1930.5,3.829053789335903e-09,5.743580684003854e-08,True,-0.7068965517241379
AUDIT_total,5.0,18.0,39,38,1054.5,0.0014084735757922914,0.02112710363688437,True,-0.42307692307692313
AUDIT_total,5.0,22.0,39,29,907.5,2.2215870259391514e-05,0.0003332380538908727,True,-0.6047745358090186
AUDIT_total,5.0,25.0,39,9,279.5,0.006205824422051598,0.09308736633077397,False,-0.5925925925925926
AUDIT_total,8.0,13.0,48,58,1613.5,0.158544470182449,1.0,False,-0.15912356321839072
AUDIT_total,8.0,18.0,48,38,864.5,0.6817822080986917,1.0,False,0.05208333333333337
AUDIT_total,8.0,22.0,48,29,529.0,0.07932487431438369,1.0,False,0.23994252873563215
AUDIT_total,8.0,25.0,48,9,151.0,0.1565921789770087,1.0,False,0.30092592592592593
AUDIT_total,13.0,18.0,58,38,903.5,0.13641230296842155,1.0,False,0.18012704174228678
AUDIT_total,13.0,22.0,58,29,419.5,0.00014349076569717694,0.002152361485457654,True,0.5011890606420928
AUDIT_total,13.0,25.0,58,9,112.5,0.00629193988646467,0.09437909829697004,False,0.5689655172413793
AUDIT_total,18.0,22.0,38,29,442.5,0.17051999390604622,1.0,False,0.19691470054446458
AUDIT_total,18.0,25.0,38,9,125.0,0.21722889106100907,1.0,False,0.26900584795321636
AUDIT_total,22.0,25.0,29,9,112.0,0.5304178312223409,1.0,False,0.14176245210727967
audit_2,5.0,8.0,39,48,1369.5,0.00012632557207857903,0.0018948835811786855,True,-0.46314102564102555
audit_2,5.0,13.0,39,58,1904.0,1.3741882865893708e-09,2.061282429884056e-08,True,-0.6834659593280283
audit_2,5.0,18.0,39,38,1096.0,0.00017452568226320714,0.002617885233948107,True,-0.4790823211875843
audit_2,5.0,22.0,39,29,841.0,0.0004579242196194272,0.006868863294291408,True,-0.4871794871794872
audit_2,5.0,25.0,39,9,254.0,0.0345094507427236,0.517641761140854,False,-0.44729344729344733
audit_2,8.0,13.0,48,58,1662.5,0.0487020223463017,0.7305303351945255,False,-0.19432471264367823
audit_2,8.0,18.0,48,38,940.0,0.791478560713659,1.0,False,-0.030701754385964897
audit_2,8.0,22.0,48,29,657.5,0.6680930303574044,1.0,False,0.05531609195402298
audit_2,8.0,25.0,48,9,190.0,0.5469071783554877,1.0,False,0.12037037037037035
audit_2,13.0,18.0,58,38,929.0,0.1305822535444853,1.0,False,0.1569872958257713
audit_2,13.0,22.0,58,29,547.0,0.0027911061057901312,0.04186659158685197,True,0.3495838287752675
audit_2,13.0,25.0,58,9,147.5,0.015303575615306464,0.22955363422959696,False,0.43486590038314177
audit_2,18.0,22.0,38,29,485.0,0.3688434564658425,1.0,False,0.11978221415607981
audit_2,18.0,25.0,38,9,139.0,0.35217344826511043,1.0,False,0.1871345029239766
audit_2,22.0,25.0,29,9,122.0,0.7668422269198754,1.0,False,0.06513409961685823
iat_5,5.0,8.0,39,48,746.5,0.09622241801404212,1.0,False,0.2024572649572649
iat_5,5.0,13.0,39,58,893.5,0.07461691872751607,1.0,False,0.2099911582670203
iat_5,5.0,18.0,39,38,731.5,0.925173978621693,1.0,False,0.012820512820512775
iat_5,5.0,22.0,39,29,862.0,0.00015613724038109658,0.0023420586057164485,True,-0.5243147656940761
iat_5,5.0,25.0,39,9,301.5,0.0005861963138751434,0.008792944708127151,True,-0.7179487179487178
iat_5,8.0,13.0,48,58,1438.0,0.7665507695299302,1.0,False,-0.03304597701149414
iat_5,8.0,18.0,48,38,1076.5,0.14569300627472725,1.0,False,-0.18037280701754388
iat_5,8.0,22.0,48,29,1143.0,1.6453615568162154e-06,2.468042335224323e-05,True,-0.6422413793103448
iat_5,8.0,25.0,48,9,387.0,0.00014172633516087077,0.0021258950274130614,True,-0.7916666666666667
iat_5,13.0,18.0,58,38,1260.5,0.2241464287816668,1.0,False,-0.14382940108892917
iat_5,13.0,22.0,58,29,1355.0,1.8921698367062443e-06,2.8382547550593666e-05,True,-0.6111771700356718
iat_5,13.0,25.0,58,9,454.5,0.000253099321851474,0.0037964898277721097,True,-0.7413793103448276
iat_5,18.0,22.0,38,29,816.0,0.0006346335519393087,0.00951950327908963,True,-0.48094373865698725
iat_5,18.0,25.0,38,9,273.0,0.005345244207257224,0.08017866310885836,False,-0.5964912280701755
iat_5,22.0,25.0,29,9,141.0,0.7126882862589796,1.0,False,-0.08045977011494254
pgsi_5,5.0,8.0,39,48,1254.5,0.0034730790068987446,0.05209618510348117,False,-0.3402777777777777
pgsi_5,5.0,13.0,39,58,1727.5,2.8160845073335084e-07,4.2241267610002625e-06,True,-0.5274093722369584
pgsi_5,5.0,18.0,39,38,983.0,0.00784613253191798,0.1176919879787697,False,-0.3265856950067476
pgsi_5,5.0,22.0,39,29,901.0,2.4410867123018164e-06,3.661630068452725e-05,True,-0.5932802829354553
pgsi_5,5.0,25.0,39,9,261.0,0.01619834345341942,0.2429751518012913,False,-0.4871794871794872
pgsi_5,8.0,13.0,48,58,1741.0,0.005263234310816695,0.07894851466225042,False,-0.2507183908045978
pgsi_5,8.0,18.0,48,38,911.5,1.0,1.0,False,0.0005482456140351033
pgsi_5,8.0,22.0,48,29,930.5,0.002290503645627038,0.03435755468440557,True,-0.33692528735632177
pgsi_5,8.0,25.0,48,9,250.5,0.3985531822676317,1.0,False,-0.15972222222222232
pgsi_5,13.0,18.0,58,38,839.5,0.010831173241317504,0.16246759861976257,False,0.2382032667876588
pgsi_5,13.0,22.0,58,29,906.5,0.3448389356993311,1.0,False,-0.07788347205707491
pgsi_5,13.0,25.0,58,9,226.5,0.364246356207904,1.0,False,0.13218390804597702
pgsi_5,18.0,22.0,38,29,726.5,0.004455277539143958,0.06682916308715937,False,-0.3185117967332123
pgsi_5,18.0,25.0,38,9,196.5,0.43747842070725595,1.0,False,-0.14912280701754388
pgsi_5,22.0,25.0,29,9,100.5,0.10889514838138845,1.0,False,0.22988505747126442
iat_20,5.0,8.0,39,48,597.5,0.0030546315100124614,0.04581947265018692,True,0.3616452991452992
iat_20,5.0,13.0,39,58,921.0,0.11722792944114936,1.0,False,0.18567639257294433
iat_20,5.0,18.0,39,38,640.5,0.30012608463226365,1.0,False,0.13562753036437247
iat_20,5.0,22.0,39,29,810.5,0.0016287810291208836,0.024431715436813255,True,-0.43324491600353676
iat_20,5.0,25.0,39,9,251.0,0.042329624355635774,0.6349443653345366,False,-0.4301994301994303
iat_20,8.0,13.0,48,58,1707.0,0.04138109781857474,0.6207164672786212,False,-0.2262931034482758
iat_20,8.0,18.0,48,38,1154.0,0.031724379739290945,0.4758656960893642,False,-0.26535087719298245
iat_20,8.0,22.0,48,29,1171.5,2.8433939919476856e-07,4.265090987921528e-06,True,-0.6831896551724137
